Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,6-7h,0-1km;0.001744306;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,7-8h,0-1km;0.001861924;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,8-9h,0-1km;0.001984541;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,9-10h,0-1km;0.002112475;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,10-11h,0-1km;0.002246074;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,11-12h,0-1km;0.00238571;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,>12h,0-1km;0.00245771;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,0-1h,1-2km;0.001132368;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,1-2h,1-2km;0.002453826;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,2-3h,1-2km;0.002884282;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,3-4h,1-2km;0.003264851;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,4-5h,1-2km;0.003563943;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,5-6h,1-2km;0.003790646;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,6-7h,1-2km;0.00402246;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,7-8h,1-2km;0.004259354;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,8-9h,1-2km;0.004501256;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,9-10h,1-2km;0.00474804;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,10-11h,1-2km;0.004999516;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,11-12h,1-2km;0.00525541;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,>12h,1-2km;0.005384783;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,0-1h,0-1km;5.397438526;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,1-2h,0-1km;10.47600174;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,2-3h,0-1km;15.64941597;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,3-4h,0-1km;21.39435005;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,4-5h,0-1km;27.19552994;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,5-6h,0-1km;33.23898315;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,6-7h,0-1km;39.28242493;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,7-8h,0-1km;45.32588577;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,8-9h,0-1km;51.36933136;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,9-10h,0-1km;57.41277695;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,10-11h,0-1km;63.45624542;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,11-12h,0-1km;69.49967957;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,>12h,0-1km;72.55045319;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,0-1h,1-2km;8.47780323;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO2(rep);Urban;TØ,1-2h,1-2km;22.13782883;;;;;
